,mahalle,fiyat,brut_alan_m2,net_alan_m2,oda_sayisi,bina_yas,dairenin_bulundugu_kat,bina_kat_sayisi,isitma_turu,banyo_sayisi,balkon,asansor,otopark,esya_durumu,site_icinde,aidat,depozito,sahibi
232,Gebizli Mah.,20000.0,149.0,130.0,3+1,4,4,6.0,Klima,2.0,1,1,Kapalı Otopark,0,1,2600,0,0
233,Cumhuriyet Mah.,14500.0,125.0,115.0,3+1,21-25 arası,4,4.0,Klima,1.0,1,0,Açık Otopark,0,0,50,5000,0
234,Fener Mah.,36000.0,270.0,240.0,6+1,21-25 arası,11,11.0,Klima,2.0,1,1,Açık Otopark,0,0,500,34000,0
235,Demircikara Mah.,28000.0,170.0,155.0,3+1,16-20 arası,6,9.0,Kombi (Doğalgaz),2.0,1,1,Açık Otopark,0,0,350,28000,0
236,Kızıltoprak Mh.,17000.0,90.0,85.0,2+1,5-10 arası,1,4.0,Yok,1.0,1,1,Açık Otopark,0,0,350,17250,0
237,Üçgen Mh.,15000.0,95.0,90.0,2+1,26-30 arası,6,6.0,Klima,1.0,1,1,Yok,0,0,0,15000,0
238,Doğuyaka Mh.,21000.0,140.0,130.0,3+1,5-10 arası,1,4.0,Kombi (Doğalgaz),2.0,1,1,Kapalı Otopark,0,0,300,21000,0
239,Meydankavağı Mh.,40000.0,220.0,200.0,3+1,5-10 arası,2,3.0,Kombi (Doğalgaz),2.0,1,1,Kapalı Otopark,0,1,1500,40000,0
240,Gençlik Mh.,25000.0,95.0,90.0,1+1,26-30 arası,1,3.0,Klima,1.0,1,0,Yok,1,0,0,0,0
241,Kızılarık Mh.,17500.0,145.0,140.0,3+1,11-15 arası,3,7.0,Yok,1.0,1,1,Açık Otopark,0,1,450,17500,0
242,Güzeloba Mh.,24000.0,105.0,100.0,2+1,21-25 arası,4,13.0,Kombi (Doğalgaz),1.0,1,0,Yok,0,1,0,0,0
243,Gebizli Mah.,12000.0,75.0,70.0,2+1,5-10 arası,Yüksek Giriş,4.0,Klima,1.0,1,1,Kapalı Otopark,0,1,0,30000,0
245,Bayındır Mh.,25000.0,140.0,130.0,3+1,16-20 arası,6,7.0,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,1,0,200,25000,0
246,Yüksekalan Mh.,22000.0,140.0,135.0,3+1,26-30 arası,2,6.0,Klima,1.0,1,1,Açık Otopark,1,0,0,22000,0
247,Bayındır Mh.,25000.0,130.0,125.0,3+1,16-20 arası,2,4.0,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,0,0,250,25000,0
248,Etiler Mah.,12750.0,90.0,85.0,2+1,5-10 arası,Giriş Katı,4.0,Klima,1.0,0,0,Açık Otopark,1,0,0,0,0
249,Konuksever Mah.,10750.0,95.0,85.0,2+1,11-15 arası,Yüksek Giriş,3.0,Klima,1.0,1,1,Açık Otopark,0,0,150,10750,0
250,Soğuksu Mh.,20000.0,145.0,140.0,3+1,16-20 arası,1,5.0,Klima,1.0,1,0,Açık Otopark,0,0,0,0,0
251,Sedir Mah.,13000.0,95.0,90.0,2+1,16-20 arası,3,4.0,Klima,1.0,1,0,Açık Otopark,0,0,0,13000,0
252,Meydankavağı Mh.,27000.0,150.0,135.0,3+1,11-15 arası,3,8.0,Kombi (Doğalgaz),2.0,1,1,Açık Otopark,0,1,1000,27000,0
253,Güzeloba Mh.,27000.0,115.0,100.0,2+1,11-15 arası,8,8.0,Klima,1.0,1,1,Açık Otopark,1,1,250,30000,0
254,Kızıltoprak Mh.,30000.0,90.0,75.0,1+1,0,Yüksek Giriş,6.0,Klima,1.0,1,1,Kapalı Otopark,1,0,1500,60000,0
255,Tahılpazarı Mh.,20000.0,80.0,70.0,2+1,26-30 arası,3,4.0,Yok,1.0,1,0,Açık Otopark,1,0,0,20000,1
256,Fener Mah.,13000.0,60.0,55.0,1+1,11-15 arası,Bahçe Katı,3.0,Klima,1.0,1,0,Yok,0,0,0,13000,0
257,Doğuyaka Mh.,23000.0,100.0,90.0,2+1,4,3,4.0,Klima,2.0,1,1,Açık Otopark,0,0,800,23000,0
258,Güzelbağ Mh.,20000.0,110.0,90.0,2+1,5-10 arası,Giriş Katı,3.0,Klima,1.0,1,0,Açık Otopark,1,0,75,0,1
259,Güzeloba Mh.,17500.0,55.0,50.0,1+1,1,Giriş Katı,2.0,Klima,1.0,1,0,Açık Otopark,1,1,0,0,0
260,Güzeloba Mh.,18000.0,65.0,60.0,1+1,5-10 arası,2,2.0,Klima,1.0,1,1,Açık Otopark,1,1,250,18000,0
261,Bayındır Mh.,15000.0,90.0,80.0,1+1,16-20 arası,7,7.0,Klima,1.0,1,1,Açık Otopark,0,0,0,0,0
262,Güzeloba Mh.,19000.0,60.0,50.0,1+1,26-30 arası,Bahçe Katı,1.0,Klima,1.0,1,0,Açık & Kapalı Otopark,0,1,3990,20000,0
263,Yenigün Mh.,12500.0,110.0,100.0,2+1,16-20 arası,1,4.0,Klima,1.0,1,0,Yok,0,0,0,24000,1
264,Konuksever Mah.,11000.0,60.0,50.0,Stüdyo (1+0),11-15 arası,Giriş Katı,5.0,Klima,1.0,0,1,Açık Otopark,1,0,0,0,0
265,Kızılarık Mh.,11995.0,90.0,75.0,2+1,4,Yüksek Giriş,4.0,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,0,1,300,12000,0
