,mahalle,fiyat,brut_alan_m2,net_alan_m2,oda_sayisi,bina_yas,dairenin_bulundugu_kat,bina_kat_sayisi,isitma_turu,banyo_sayisi,balkon,asansor,otopark,esya_durumu,site_icinde,aidat,depozito,sahibi
722,Güzeloluk Mh.,35000.0,95.0,90.0,1+1,4,Bahçe Katı,4.0,Kombi (Doğalgaz),1.0,1,1,Açık & Kapalı Otopark,1,1,1500,100000,0
723,Güzeloba Mh.,19000.0,70.0,60.0,1+1,11-15 arası,Bahçe Katı,6.0,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,1,1,1000,19000,0
724,Deniz Mah.,23000.0,105.0,85.0,2+1,5-10 arası,2,4.0,Klima,1.0,1,1,Kapalı Otopark,0,1,700,23000,0
725,Memurevleri Mah.,13000.0,95.0,90.0,2+1,11-15 arası,Bahçe Katı,5.0,Klima,1.0,1,0,Açık Otopark,1,0,0,12000,0
726,Kızılarık Mh.,11000.0,90.0,85.0,2+1,11-15 arası,Yüksek Giriş,4.0,Klima,1.0,1,1,Açık Otopark,0,0,100,11500,0
728,Altındağ Mh.,20000.0,135.0,125.0,3+1,16-20 arası,4,4.0,Kombi (Doğalgaz),1.0,1,0,Kapalı Otopark,1,0,30,0,1
730,Güzeloba Mh.,12000.0,85.0,40.0,Stüdyo (1+0),5-10 arası,2,3.0,Klima,1.0,1,0,Açık Otopark,1,0,0,0,0
731,Güzeloba Mh.,17500.0,50.0,45.0,1+1,5-10 arası,Yüksek Giriş,2.0,Klima,1.0,1,0,Yok,1,1,50,40000,0
732,Gençlik Mh.,25000.0,150.0,135.0,3+1,31 ve üzeri,3,4.0,Klima,1.0,1,0,Yok,0,0,0,0,0
733,Güzeloba Mh.,20000.0,45.0,40.0,1+1,2,1,3.0,Klima,1.0,1,1,Kapalı Otopark,1,1,0,0,0
734,Muratpaşa Mh.,20000.0,140.0,120.0,2+1,11-15 arası,1,4.0,Klima,2.0,1,0,Açık Otopark,0,0,60,25000,0
735,Kızılarık Mh.,12000.0,80.0,70.0,2+1,11-15 arası,Yüksek Giriş,3.0,Klima,1.0,1,1,Açık Otopark,0,0,0,12000,0
737,Gebizli Mah.,13000.0,100.0,95.0,3+1,5-10 arası,Yüksek Giriş,4.0,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,0,0,0,15900,0
738,Çağlayan Mh.,40000.0,130.0,120.0,3+1,5-10 arası,1,5.0,Klima,2.0,1,1,Açık Otopark,1,0,300,80000,0
739,Üçgen Mh.,15000.0,140.0,130.0,3+1,21-25 arası,3,5.0,Güneş Enerjisi,1.0,1,0,Açık Otopark,0,0,50,15000,1
740,Fener Mah.,20000.0,90.0,85.0,2+1,5-10 arası,Giriş Katı,6.0,Klima,1.0,1,1,Açık Otopark,0,0,150,40000,1
741,Yeşilbahçe Mh.,87500.0,225.0,190.0,3+1,11-15 arası,15,15.0,Kombi (Doğalgaz),2.0,1,1,Kapalı Otopark,1,1,4000,0,0
743,Deniz Mah.,15000.0,70.0,60.0,1+1,31 ve üzeri,4,4.0,Klima,1.0,0,0,Yok,1,0,0,30000,0
744,Güzeloba Mh.,22000.0,55.0,45.0,1+1,5-10 arası,1,2.0,Klima,1.0,1,0,Açık Otopark,1,1,1750,0,0
745,Etiler Mah.,20000.0,100.0,90.0,2+1,11-15 arası,3,3.0,Klima,1.0,1,0,Açık Otopark,1,0,0,20000,0
746,Çağlayan Mh.,35500.0,160.0,145.0,3+1,16-20 arası,3,5.0,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,1,0,0,45000,0
747,Yüksekalan Mh.,15000.0,45.0,40.0,1+1,0,Yüksek Giriş,4.0,Kombi (Doğalgaz),1.0,0,1,Açık & Kapalı Otopark,0,1,0,15000,0
748,Yenigün Mh.,17500.0,140.0,130.0,3+1,16-20 arası,2,8.0,Klima,1.0,1,1,Açık Otopark,0,1,250,36000,0
749,Güzelbağ Mh.,30000.0,110.0,100.0,2+1,5-10 arası,2,2.0,Klima,2.0,0,1,Yok,1,0,400,55000,0
750,Güzeloba Mh.,45000.0,120.0,110.0,2+1,5-10 arası,1,2.0,Klima,2.0,0,1,Kapalı Otopark,1,1,1800,60000,0
751,Meltem Mah.,22500.0,155.0,145.0,3+1,21-25 arası,8,15.0,Klima,2.0,1,1,Açık Otopark,1,1,500,22500,0
752,Şirinyalı Mh.,25000.0,165.0,160.0,3+1,11-15 arası,7,10.0,Yok,2.0,1,1,Açık Otopark,0,1,2000,25000,0
753,Gebizli Mah.,26000.0,110.0,100.0,2+1,4,2,5.0,Merkezi (Pay Ölçer),2.0,1,1,Kapalı Otopark,1,1,0,0,0
754,Şirinyalı Mh.,20000.0,175.0,165.0,3+1,26-30 arası,3,5.0,Yok,2.0,1,1,Açık Otopark,0,0,0,0,0
755,Gebizli Mah.,15000.0,115.0,100.0,2+1,5-10 arası,4,4.0,Klima,1.0,1,1,Açık Otopark,0,0,0,15000,0
756,Yenigün Mh.,15000.0,80.0,70.0,2+1,5-10 arası,Yüksek Giriş,3.0,Klima,1.0,1,1,Açık Otopark,1,0,0,15000,0
757,Çağlayan Mh.,30000.0,160.0,135.0,3+1,11-15 arası,4,10.0,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,1,1,400,70000,0
758,Bayındır Mh.,18000.0,185.0,165.0,4+1,11-15 arası,8,8.0,Kombi (Doğalgaz),1.0,1,1,Açık & Kapalı Otopark,1,0,0,0,0
759,Güzeloba Mh.,20000.0,150.0,140.0,3+1,11-15 arası,8,11.0,Klima,1.0,1,1,Yok,0,0,150,20000,0
760,Güzeloba Mh.,40000.0,120.0,100.0,2+1,5-10 arası,2,3.0,Klima,2.0,1,1,Kapalı Otopark,1,1,1200,80000,0
762,Kışla Mh.,15800.0,55.0,50.0,1+1,5-10 arası,4,4.0,Klima,1.0,1,1,Yok,1,0,0,0,0
763,Meydankavağı Mh.,19000.0,150.0,140.0,3+1,16-20 arası,1,4.0,Yok,2.0,1,1,Açık Otopark,0,0,150,20000,0
764,Üçgen Mh.,25000.0,180.0,160.0,4+1,4,4,4.0,Klima,2.0,1,1,Açık Otopark,0,0,0,0,0
765,Kızılarık Mh.,14000.0,110.0,100.0,2+1,5-10 arası,2,4.0,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,0,1,0,0,0
766,Çağlayan Mh.,30000.0,85.0,75.0,2+1,4,Giriş Katı,7.0,Kombi (Doğalgaz),1.0,1,1,Kapalı Otopark,1,0,1800,45000,0
767,Sinan Mah.,15000.0,125.0,110.0,3+1,31 ve üzeri,1,4.0,Klima,1.0,1,0,Açık Otopark,0,0,0,15000,0
769,Bahçelievler Mh.,25000.0,150.0,130.0,2+1,31 ve üzeri,5,5.0,Merkezi,1.0,1,1,Açık Otopark,0,0,1000,30000,0
770,Kışla Mh.,15500.0,95.0,85.0,2+1,11-15 arası,1,3.0,Klima,1.0,1,0,Açık Otopark,0,0,0,15500,0
771,Çağlayan Mh.,20000.0,70.0,65.0,1+1,3,1,3.0,Klima,1.0,1,1,Yok,1,0,0,20000,0
773,Güzeloba Mh.,15000.0,50.0,45.0,1+1,5-10 arası,Bahçe Katı,2.0,Klima,1.0,1,1,Açık Otopark,1,0,0,29000,0
774,Konuksever Mah.,15000.0,120.0,105.0,2+1,5-10 arası,1,3.0,Klima,2.0,1,0,Açık Otopark,0,0,0,15000,0
775,Kışla Mh.,13500.0,130.0,115.0,3+1,26-30 arası,5,5.0,Klima,2.0,1,0,Açık Otopark,0,0,50,14000,0
776,Güzeloba Mh.,22000.0,85.0,75.0,2+1,5-10 arası,Yüksek Giriş,4.0,Klima,1.0,1,1,Açık Otopark,1,1,400,22000,0
777,Çağlayan Mh.,23000.0,100.0,90.0,2+1,11-15 arası,1,2.0,Klima,1.0,1,0,Açık Otopark,0,0,250,23000,0
778,Muratpaşa Mh.,25000.0,55.0,52.0,1+1,0,2,4.0,Yerden Isıtma,1.0,1,1,Açık Otopark,1,0,300,20000,1
779,Güzeloba Mh.,30000.0,135.0,125.0,3+1,11-15 arası,3,3.0,Kombi (Doğalgaz),2.0,1,0,Açık Otopark,1,0,0,30000,0
781,Meydankavağı Mh.,40000.0,180.0,170.0,3+1,11-15 arası,2,3.0,Kombi (Doğalgaz),2.0,1,1,Kapalı Otopark,0,1,1250,80000,1
783,Çağlayan Mh.,14350.0,70.0,65.0,1+1,5-10 arası,2,4.0,Klima,1.0,1,1,Yok,1,0,0,16000,0
784,Çaybaşı Mh.,25000.0,140.0,125.0,2+1,16-20 arası,1,7.0,Klima,1.0,0,1,Yok,1,0,200,20000,1
786,Güzeloba Mh.,25000.0,130.0,120.0,3+1,5-10 arası,2,3.0,Klima,2.0,1,0,Açık Otopark,0,0,1000,25000,0
787,Kızılarık Mh.,14999.0,120.0,95.0,2+1,5-10 arası,2,6.0,Klima,1.0,1,1,Açık Otopark,0,1,200,15000,0
788,Zerdalilik Mah.,29995.0,95.0,85.0,2+1,2,Yüksek Giriş,4.0,Kombi (Doğalgaz),1.0,1,1,Kapalı Otopark,1,1,350,35000,0
789,Yeşilbahçe Mh.,27000.0,125.0,115.0,2+1,11-15 arası,3,5.0,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,0,0,150,27000,0
790,Şirinyalı Mh.,25000.0,170.0,160.0,3+1,21-25 arası,6,10.0,Yok,1.0,1,1,Açık Otopark,0,1,0,0,0
791,Çağlayan Mh.,30000.0,120.0,110.0,2+1,16-20 arası,15,15.0,Klima,1.0,1,1,Açık Otopark,0,1,1600,60000,0
792,Şirinyalı Mh.,40000.0,90.0,80.0,2+1,21-25 arası,3,3.0,Klima,1.0,1,0,Açık Otopark,1,0,0,0,0
793,Bayındır Mh.,15000.0,145.0,130.0,3+1,26-30 arası,1,4.0,Yok,1.0,1,0,Açık Otopark,0,0,75,0,0
794,Yeşilbahçe Mh.,25000.0,150.0,140.0,3+1,31 ve üzeri,1,4.0,Klima,1.0,1,0,Açık Otopark,0,0,0,0,0
795,Kızıltoprak Mh.,20000.0,160.0,150.0,3+1,11-15 arası,2,5.0,Yok,1.0,1,1,Açık Otopark,0,1,0,20000,0
796,Güzeloba Mh.,20000.0,105.0,97.0,1+1,5-10 arası,2,2.0,Klima,1.0,1,0,Açık Otopark,1,0,0,40000,0
797,Üçgen Mh.,15000.0,140.0,135.0,3+1,26-30 arası,6,6.0,Klima,1.0,1,0,Yok,0,0,100,15000,0
798,Şirinyalı Mh.,23000.0,150.0,140.0,3+1,11-15 arası,2,5.0,Yok,2.0,1,1,Açık Otopark,0,1,575,23000,0
799,Güzeloba Mh.,14000.0,45.0,40.0,1+1,26-30 arası,Giriş Katı,7.0,Klima,1.0,0,1,Açık Otopark,1,1,500,15000,0
800,Sinan Mah.,15000.0,120.0,100.0,3+1,26-30 arası,3,4.0,Klima,2.0,1,0,Yok,0,0,100,15000,0
801,Çağlayan Mh.,45000.0,200.0,180.0,4+1,11-15 arası,9,15.0,Kombi (Doğalgaz),3.0,1,1,Açık Otopark,1,1,0,45000,0
803,Kızılarık Mh.,13500.0,65.0,55.0,1+1,0,2,4.0,Klima,1.0,1,1,Açık Otopark,0,0,0,15000,0
807,Kışla Mh.,25000.0,150.0,135.0,3+1,3,5,6.0,Kombi (Doğalgaz),2.0,1,1,Kapalı Otopark,0,0,500,50000,0
808,Altındağ Mh.,21750.0,180.0,155.0,3+1,21-25 arası,2,7.0,Klima,1.0,1,1,Açık Otopark,1,0,0,30000,0
809,Meydankavağı Mh.,29500.0,180.0,160.0,3+1,21-25 arası,3,8.0,Kombi (Doğalgaz),2.0,1,1,Açık Otopark,0,0,500,33000,0
810,Varlık Mh.,26750.0,150.0,130.0,2+1,2,6,6.0,Kombi (Doğalgaz),2.0,1,1,Açık Otopark,1,0,0,30000,0
811,Güzeloba Mh.,25000.0,90.0,80.0,2+1,4,2,2.0,Klima,1.0,1,0,Açık Otopark,1,0,0,0,0
812,Fener Mah.,25000.0,65.0,55.0,1+1,4,1,3.0,Klima,1.0,0,1,Açık Otopark,1,0,0,25000,0
813,Tahılpazarı Mh.,11000.0,110.0,95.0,2+1,26-30 arası,5,5.0,Klima,1.0,1,0,Açık Otopark,0,0,100,11000,0
814,Kızılarık Mh.,17800.0,125.0,112.0,2+1,4,1,5.0,Klima,2.0,1,1,Açık Otopark,1,1,1100,35000,0
815,Güzeloba Mh.,13000.0,60.0,50.0,1+1,11-15 arası,Bahçe Katı,2.0,Klima,1.0,1,0,Açık Otopark,1,1,0,0,0
816,Meydankavağı Mh.,22000.0,220.0,180.0,4+1,11-15 arası,4,5.0,Yok,2.0,1,1,Açık Otopark,0,0,150,22000,0
818,Güzeloba Mh.,25000.0,115.0,105.0,2+1,11-15 arası,Yüksek Giriş,2.0,Klima,1.0,1,0,Açık Otopark,1,0,200,25000,0
819,Fener Mah.,20000.0,90.0,80.0,2+1,21-25 arası,Zemin Kat,15.0,Klima,1.0,1,1,Kapalı Otopark,0,1,1250,40000,0
820,Yenigün Mh.,13000.0,110.0,100.0,2+1,11-15 arası,4,4.0,Klima,1.0,1,0,Açık Otopark,0,0,50,13000,0
821,Çağlayan Mh.,30000.0,150.0,140.0,3+1,16-20 arası,1,8.0,Kombi (Doğalgaz),1.0,1,1,Kapalı Otopark,1,1,0,0,0
822,Yenigün Mh.,16000.0,115.0,110.0,2+1,11-15 arası,2,5.0,Klima,1.0,1,1,Açık Otopark,0,0,150,16000,0
823,Güzeloba Mh.,16000.0,120.0,110.0,2+1,16-20 arası,2,3.0,Klima,1.0,1,1,Açık Otopark,0,0,250,16000,0
825,Soğuksu Mh.,25000.0,170.0,160.0,3+1,11-15 arası,11,17.0,Kombi (Doğalgaz),1.0,1,1,Açık & Kapalı Otopark,1,0,0,25000,0
826,Şirinyalı Mh.,30000.0,220.0,200.0,5+1,11-15 arası,12,13.0,Klima,2.0,1,1,Açık Otopark,0,0,0,30000,0
827,Muratpaşa Mh.,20000.0,70.0,65.0,2+1,5-10 arası,Çatı Katı,5.0,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,1,0,500,20000,1
828,Güzeloba Mh.,17500.0,100.0,80.0,2+1,16-20 arası,1,4.0,Klima,2.0,1,0,Yok,1,0,300,25000,0
